Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
11,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,updated_ct_script_iob_based.py,py,130,,8.0,,,,2.0,1.0,,,,,,,,,3.0,,,,,,,,10.0,30.0,,1.0,,,,,,,,,,,,,,67.0,8.0
11,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,updated_ct_script_iob_based_monitor.py,py,130,,8.0,,,,2.0,1.0,,,,,,,,,3.0,,,,,,,,10.0,30.0,,1.0,,,,,,,,,,,,,,67.0,8.0
11,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,updated_ct_script_iob_based_original.py,py,130,,8.0,,,,2.0,1.0,,,,,,,,,3.0,,,,,,,,10.0,30.0,,1.0,,,,,,,,,,,,,,67.0,8.0
10,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/fault_injection_files,gen_fault_code_openAPS.py,py,58,,10.0,,,,6.0,6.0,,,,,,,,,,,8.0,,,,,,6.0,,,4.0,,,,,,,,,,,,,,18.0,
7,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_updated_ct_script.py,py,99,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,6.0,35.0,,1.0,,,,,,,,,,,,,,39.0,11.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_old_simplex_latest.py,py,55,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,,1.0,,,,,,,,,,,,,,25.0,7.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_5_scheduler_script_dual_red.py,py,91,,4.0,,,,,,,,,,,,,,,,,,,,,,25.0,16.0,,1.0,,,,,,,,,,,,,,38.0,7.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,ct_simplex_latest.py,py,87,,5.0,,,,,,,,,,,,,,,,,,,,,,6.0,35.0,,1.0,,,,,,,,,,,,,,29.0,11.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,scheduler_script.py,py,125,,5.0,,,,,,,,,,,,,,,,,,,,,,50.0,16.0,,1.0,,,,,,,,,,,,,,46.0,7.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,updated_ct_script_e_bg_based.py,py,90,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,35.0,,1.0,,,,,,,,,,,,,,37.0,7.0
