Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
17,/home/uva-dsa/Research/Raven/raven_2/src/raven,rt_process_preempt.cpp,cpp,78,4.0,12.0,2.0,,,20.0,,,,,,,,,4.0,17.0,,,1.0,1.0,,,,5.0,3.0,6.0,2.0,,,,,,,,,,,,,1.0,,
16,/home/uva-dsa/Research/Raven/raven_2/src/raven,init.cpp,cpp,173,3.0,12.0,27.0,,,6.0,,,,,,,,27.0,27.0,42.0,,1.0,,1.0,,,,,,3.0,8.0,,,,,,,,,,,,,16.0,,
15,/home/uva-dsa/Research/Raven/raven_2/src/raven,console_process.cpp,cpp,90,2.0,24.0,2.0,,,12.0,,,,,,,,2.0,2.0,3.0,,,2.0,,,,,16.0,13.0,3.0,,,,,,,,,,,,,,9.0,,
15,/home/uva-dsa/Research/Raven/raven_2/src/raven,homing.cpp,cpp,68,7.0,5.0,,,13.0,23.0,,,4.0,,,,2.0,,,4.0,,,,,,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,2.0,,
14,/home/uva-dsa/Research/Raven/raven_2/src/raven,rt_raven.cpp,cpp,186,6.0,18.0,,,3.0,81.0,,15.0,,,,,2.0,,,14.0,,,,,,,,2.0,,3.0,4.0,,,,,,,,,,,,,38.0,,
13,/home/uva-dsa/Research/Raven/raven_2/src/raven,r2_kinematics.cpp,cpp,157,4.0,80.0,,,,5.0,,,,,,,,,,57.0,,1.0,,,1.0,,,2.0,1.0,3.0,,,,,,,,,,,,,3.0,,,
13,/home/uva-dsa/Research/Raven/raven_2/src/raven,pid_control.cpp,cpp,41,,2.0,1.0,,,17.0,3.0,,,,,,2.0,2.0,2.0,6.0,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,
12,/home/uva-dsa/Research/Raven/raven_2/,analyze_faulty.py,py,136,6.0,61.0,1.0,,,2.0,,,,,,,,1.0,,2.0,,,,,,,,50.0,1.0,3.0,9.0,,,,,,,,,,,,,,,
11,/home/uva-dsa/Research/Raven/raven_2/src/raven,local_io.cpp,cpp,173,,80.0,6.0,,,5.0,,,,,,,,,,8.0,,,,,,,,3.0,3.0,62.0,5.0,,,1.0,,,,,,,,,,,,
11,/home/uva-dsa/Research/Raven/raven_2/src/raven,overdrive_detect.cpp,cpp,29,,5.0,1.0,,,6.0,,,,,,,,,,5.0,,,,,,,3.0,2.0,,3.0,,,,,,,,,,,,,,4.0,,
