Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
21,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls,controlsd.py,py,172,1.0,11.0,1.0,,,48.0,,16.0,1.0,,,,11.0,,31.0,2.0,,31.0,,,,,,1.0,,10.0,5.0,1.0,1.0,,,,,,1.0,,,,,,,
19,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,manager.py,py,121,2.0,17.0,,,,9.0,,6.0,,,,,6.0,1.0,1.0,20.0,,2.0,,1.0,,,,4.0,,1.0,17.0,,,4.0,,,,,,,30.0,,,,,
18,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/plant,plant.py,py,86,1.0,10.0,,,,4.0,,1.0,1.0,,,,,,1.0,1.0,,26.0,,,,,,,5.0,9.0,3.0,9.0,,1.0,,,,,,,,,,14.0,,
15,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,interface.py,py,84,1.0,7.0,,,,21.0,4.0,4.0,,,,,2.0,,20.0,19.0,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,
15,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,planner.py,py,84,,3.0,,,,9.0,,5.0,,,,,1.0,,2.0,,,48.0,,,,,,,,2.0,3.0,5.0,2.0,,,,,1.0,3.0,,,,,,,
14,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,carstate.py,py,21,1.0,1.0,,,,2.0,,,1.0,,,,1.0,,4.0,,2.0,,,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,4.0,,
13,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/tests/plant,test_longitudinal_original.py,py,45,,4.0,,,,5.0,,3.0,,,,,1.0,,17.0,2.0,,1.0,,,,,,9.0,,,,1.0,,,,,,,,2.0,,,,,,
13,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,longcontrol.py,py,91,,1.0,1.0,,,30.0,2.0,3.0,,,,,32.0,,2.0,4.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
13,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/tests/plant,test_longitudinal.py,py,30,1.0,4.0,,,,5.0,,3.0,,,,,1.0,,1.0,3.0,,1.0,,,,,,10.0,,,,1.0,,,,,,,,,,,,,,
13,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/mock,interface.py,py,16,,1.0,1.0,,,1.0,,1.0,,,,,2.0,,3.0,2.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,1.0,,
12,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,latcontrol.py,py,25,,3.0,,,,4.0,2.0,2.0,,,,,8.0,,1.0,1.0,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,
12,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/ui,ui.c,c,62,5.0,26.0,,,,2.0,,2.0,,,,,,,3.0,,,6.0,,,5.0,,,,,,13.0,,,,,,,,,,,,,,,
12,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls,radard.py,py,39,1.0,11.0,,,,5.0,,5.0,,,,,,,,4.0,3.0,2.0,,,,,,,,5.0,3.0,,,,,,,,,,,,,,,
11,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/plant,maneuver.py,py,38,2.0,6.0,,,,,,,,,,,1.0,,4.0,,,9.0,,,,,,7.0,2.0,,,3.0,,,,,,,1.0,,,,,3.0,,
11,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/toyota,interface.py,py,44,,3.0,,,,9.0,3.0,2.0,,,,,2.0,,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,
11,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/toyota,carcontroller.py,py,22,,3.0,,,1.0,5.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,
10,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc/mpc_export,acado_solver.c,c,26,,13.0,,,,1.0,,1.0,,,,,,,,5.0,,,,,,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,
10,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,carcontroller.py,py,19,,1.0,,,,5.0,1.0,2.0,,,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,
10,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc/mpc_export,acado_solver.c,c,26,,13.0,,,,1.0,,1.0,,,,,,,,5.0,,,,,,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,
10,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/plant,maneuverplots.py,py,24,,1.0,,,,1.0,,,,,,,7.0,,1.0,,,1.0,,,,,,,,,,7.0,,,,,,,3.0,,,,,3.0,,
9,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,pid.py,py,25,,1.0,3.0,,,14.0,1.0,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/plant,plant_ui.py,py,30,1.0,7.0,,,,5.0,,,,,,,,,,,,11.0,,,,,,,,1.0,1.0,,,,,,,,,,,,4.0,,,
9,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,vehicle_model.py,py,10,,1.0,,,,2.0,1.0,1.0,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
8,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test,test_openpilot.py,py,19,,5.0,,,,2.0,,2.0,,,,,,,,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
8,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/boardd,boardd.py,py,38,7.0,11.0,,,,3.0,,,,,,,,,,1.0,,,,,,,,3.0,,8.0,5.0,,,,,,,,,,,,,,,
8,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc,mpc.c,c,19,,12.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,
7,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/toyota,carstate.py,py,20,,,,,,4.0,,,,,,,,,4.0,,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,7.0,,
7,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car,__init__.py,py,9,1.0,4.0,,,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/loggerd,uploader.py,py,26,2.0,16.0,1.0,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,pathplanner.py,py,3,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc,mpc.c,c,14,,8.0,,,,3.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,messaging.py,py,12,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,alertmanager.py,py,42,,,2.0,,,34.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc/mpc_export,acado_auxiliary_functions.c,c,21,,7.0,,,,4.0,,,,,,,,,,7.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc/mpc_export,acado_auxiliary_functions.c,c,21,,7.0,,,,4.0,,,,,,,,,,7.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,drive_helpers.py,py,8,,3.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc,generator.cpp,cpp,11,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,
5,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/can,parser.py,py,13,1.0,8.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,
