Directory#,Filename#,Filetype#,Total#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,updated_ct_script_iob_based.py,py,11,,10,,,,2,1,,,,,,,,,3,,,,,,,,10,30,,1,,,,,,,,,,,,,,67,8
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_updated_ct_script.py,py,7,2,7,,,,,,,,,,,,,,,,,,,,,,6,35,,1,,,,,,,,,,,,,,39,11
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,scheduler_script_latest_backup.py,py,6,,4,,,,,,,,,,,,,,,,,,,,,,2,14,,1,,,,,,,,,,,,,,11,1
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,updated_ct_script_bg_based.py,py,6,,7,,,,,,,,,,,,,,,,,,,,,,5,35,,1,,,,,,,,,,,,,,44,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,updated_ct_script_e_bg_based.py,py,6,,7,,,,,,,,,,,,,,,,,,,,,,5,35,,1,,,,,,,,,,,,,,37,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,scheduler_script.py,py,6,,9,,,,,,,,,,,,,,,,,,,,,,50,16,,1,,,,,,,,,,,,,,46,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,ct_simplex_latest.py,py,6,,7,,,,,,,,,,,,,,,,,,,,,,6,35,,1,,,,,,,,,,,,,,29,11
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_5_scheduler_script_dual_red.py,py,6,,8,,,,,,,,,,,,,,,,,,,,,,25,16,,1,,,,,,,,,,,,,,38,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_old_simplex_latest.py,py,6,,6,,,,,,,,,,,,,,,,,,,,,,3,16,,1,,,,,,,,,,,,,,25,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,simplex_latest_1.py,py,6,,6,,,,,,,,,,,,,,,,,,,,,,3,16,,1,,,,,,,,,,,,,,25,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_4_scheduler_script.py,py,6,,8,,,,,,,,,,,,,,,,,,,,,,25,16,,1,,,,,,,,,,,,,,37,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,scheduler_script_tmr.py,py,6,,9,,,,,,,,,,,,,,,,,,,,,,50,16,,1,,,,,,,,,,,,,,46,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,simplex_latest.py,py,6,,7,,,,,,,,,,,,,,,,,,,,,,4,35,,1,,,,,,,,,,,,,,25,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,scheduler_script_latest_backup.py,py,6,,4,,,,,,,,,,,,,,,,,,,,,,2,14,,1,,,,,,,,,,,,,,11,1
