Directory#,Filename#,Filetype#,Total#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
/home/uva-dsa/Research/Raven/raven_2/src/raven,rt_process_preempt.cpp,cpp,17,4,26,2,,,20,,,,,,,,,4,17,,,1,1,,,,5,3,6,2,,,,,,,,,,,,,1,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,init.cpp,cpp,16,3,24,27,,,6,,,,,,,,27,27,42,,1,,1,,,,,,3,8,,,,,,,,,,,,,16,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,console_process.cpp,cpp,15,2,26,2,,,12,,,,,,,,2,2,3,,,2,,,,,16,13,3,,,,,,,,,,,,,,9,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,homing.cpp,cpp,15,7,25,,,13,23,,,4,,,,2,,,4,,,,,,,,3,1,3,1,,,,,,,,,,,,,2,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,rt_raven.cpp,cpp,14,6,26,,,3,81,,15,,,,,2,,,14,,,,,,,,2,,3,4,,,,,,,,,,,,,38,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,r2_kinematics.cpp,cpp,13,4,105,,,,5,,,,,,,,,,57,,1,,,1,,,2,1,3,,,,,,,,,,,,,3,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,pid_control.cpp,cpp,13,,12,1,,,17,3,,,,,,2,2,2,6,,,,,,,,,,3,,,,,,,,,,,,,,3,,
/home/uva-dsa/Research/Raven/raven_2/,analyze_faulty.py,py,12,6,71,1,,,2,,,,,,,,1,,2,,,,,,,,50,1,3,9,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/,run.py,py,11,1,30,,,,5,,,,,,,10,1,,22,,,,,,,,8,1,6,11,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,overdrive_detect.cpp,cpp,11,,8,1,,,6,,,,,,,,,,5,,,,,,,3,2,,3,,,,,,,,,,,,,,4,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,grav_comp.cpp,cpp,11,,20,,,,6,,,,,,,,,,5,,,,,1,,,5,1,3,,,,,,,,,,,,,2,24,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,network_layer.cpp,cpp,11,2,14,1,,,6,,,,,,,,,5,9,,,,,,,,3,1,3,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,local_io.cpp,cpp,11,,121,6,,,5,,,,,,,,,,8,,,,,,,,3,3,62,5,,,1,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,update_device_state.cpp,cpp,10,,17,,,,17,1,,,,,,,,,1,,,,,,,,2,2,3,,,,,,,,,,,,,,20,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,trajectory.cpp,cpp,10,,8,,1,16,16,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,1,,
/home/uva-dsa/Research/Raven/raven_2/,parse_plot.py,py,9,1,41,,,,2,,,,,,,,1,,1,,,,,,,,,2,3,7,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,hmatrix.cpp,cpp,9,,21,,,,5,,,,,,,,,,1,,1,,,1,,,,,3,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,USB_init.cpp,cpp,9,1,16,,,,5,,,,,,,,,,2,,,,,,,,1,,3,1,,,1,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/,plot.py,py,8,1,16,,,,2,,,,,,,,,,1,,,,,,,,,2,3,5,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,t_to_DAC_val.cpp,cpp,8,,19,,,,7,,,,,,,,,,4,,,,,,,,6,2,3,,,,,,,,,,,,,,10,,
/home/uva-dsa/Research/Raven/raven_2/,Real_Packet_Generator.py,py,7,2,4,,,,2,,,,,,,,,,1,,,,,,,,,,3,1,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/,plot2.py,py,7,,14,,,,2,,,,,,,,,,,,,,,,,,19,1,3,1,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/,Real_Packet_Generator_Surgeon.py,py,7,5,11,,,,2,,,,,,,,,,3,,,,,,,,,1,3,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,state_machine.cpp,cpp,7,,5,,,,5,,,,,,,,,,1,,,,,,,,,2,3,1,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,inv_cable_coupling.cpp,cpp,7,,12,,,,6,,,,,,,,,,1,,,,2,,,,,,3,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/Raven/raven_2/src/raven,utils.cpp,cpp,7,2,7,,,,5,,,,,,,,,,1,,,,,,,,,,3,3,,,,,,,,,,,,,,,
