Directory#,Filename#,Filetype#,Total#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls,controlsd.py,py,21,1,15,1,,,48,,16,1,,,,11,,31,2,,31,,,,,,1,,10,5,1,1,,,,,,1,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,manager.py,py,19,4,20,,,,9,,6,,,,,6,1,1,20,,2,,1,,,,4,,1,17,,,4,,,,,,,30,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/plant,plant.py,py,18,1,26,,,,4,,1,1,,,,,,1,1,,26,,,,,,,5,9,3,9,,3,,,,,,,,,,14,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,interface.py,py,15,1,10,,,,21,4,4,,,,,2,,20,19,,1,,,,,,4,,,,,,,,,,,,,,,,1,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,planner.py,py,15,,4,,,,9,,5,,,,,1,,2,,,48,,,,,,,,2,3,5,2,,,,,1,3,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,carstate.py,py,14,1,4,,,,2,,,1,,,,1,,4,,2,,,3,,,,,,,,1,1,,,,,,,,,,,4,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/mock,interface.py,py,13,,1,1,,,1,,1,,,,,2,,3,2,,,,,,,,1,,,3,,,,,,,,,,,,,1,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,longcontrol.py,py,13,,2,1,,,30,2,3,,,,,32,,2,4,,,,,,,,16,,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/tests/plant,test_longitudinal_original.py,py,13,,4,,,,5,,3,,,,,1,,17,2,,1,,,,,,9,,,,1,,,,,,,,2,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/tests/plant,test_longitudinal.py,py,13,1,4,,,,5,,3,,,,,1,,1,3,,1,,,,,,10,,,,1,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls,radard.py,py,12,1,14,,,,5,,5,,,,,,,,4,3,2,,,,,,,,5,3,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,latcontrol.py,py,12,,4,,,,4,2,2,,,,,8,,1,1,,,,,,,,3,,,,,,,,1,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/ui,ui.c,c,12,5,35,,,,2,,2,,,,,,,3,,,6,,,5,,,,,,13,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/toyota,carcontroller.py,py,11,,3,,,1,5,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/toyota,interface.py,py,11,,10,,,,9,3,2,,,,,2,,9,6,,,,,,,,,,,,,,,,,,,,,,,,10,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/plant,maneuver.py,py,11,2,8,,,,,,,,,,,1,,4,,,9,,,,,,7,2,,,3,,,,,,,1,,,,,3,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,carcontroller.py,py,10,,1,,,,5,1,2,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,2,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc/mpc_export,acado_solver.c,c,10,,14,,,,1,,1,,,,,,,,5,,,,,,3,,2,,1,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc/mpc_export,acado_solver.c,c,10,,14,,,,1,,1,,,,,,,,5,,,,,,3,,2,,1,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/plant,maneuverplots.py,py,10,,1,,,,1,,,,,,,7,,1,,,1,,,,,,,,,,7,,,,,,,3,,,,,3,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,pid.py,py,9,,2,3,,,14,1,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,vehicle_model.py,py,9,,3,,,,2,1,1,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/plant,plant_ui.py,py,9,1,7,,,,5,,,,,,,,,,,,11,,,,,,,,1,1,,,,,,,,,,,,4,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/boardd,boardd.py,py,8,7,11,,,,3,,,,,,,,,,1,,,,,,,,3,,8,5,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc,mpc.c,c,8,,14,,,,2,,1,,,,,,,,,,,,,,,,,1,,,2,,,,,,,1,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test,test_openpilot.py,py,8,,7,,,,2,,2,,,,,,,,3,,7,,,,,,,,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/loggerd,uploader.py,py,7,2,16,1,,,,,,,,,,,,,4,,,,,,,,1,,,2,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car,__init__.py,py,7,1,4,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/toyota,carstate.py,py,7,,,,,,4,,,,,,,,,4,,3,,,,,,,,,,,1,1,,,,,,,,,,,7,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,messaging.py,py,6,2,2,3,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,pathplanner.py,py,6,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,alertmanager.py,py,6,,,2,,,34,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc,mpc.c,c,6,,8,,,,3,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,drive_helpers.py,py,5,,3,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc/mpc_export,acado_auxiliary_functions.c,c,5,,10,,,,4,,,,,,,,,,7,,,,,,,,,,3,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc,generator.cpp,cpp,5,,2,,,,4,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,
/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc/mpc_export,acado_auxiliary_functions.c,c,5,,10,,,,4,,,,,,,,,,7,,,,,,,,,,3,,,,,,,,,,,,,,,,
