Directory#,Filename#,Filetype#,while,for,gain,control,pub,sub,plan,output,input,null,Total#
/home/gui/Documents/AirSim/PythonClient/car,DQNcar.py,py,1,1,0,1,0,0,0,1,1,0,5
/home/gui/Documents/AirSim/PythonClient/multirotor,DQNdrone.py,py,1,1,0,1,0,0,0,1,1,0,5
/home/gui/Documents/AirSim/PythonClient/imitation_learning,drive_model.py,py,1,1,0,1,0,0,0,1,0,0,4
/home/gui/Documents/AirSim/PythonClient/car,drive_straight.py,py,1,1,0,1,0,0,0,1,0,0,4
/home/gui/Documents/AirSim/PythonClient/multirotor,kinect_publisher.py,py,1,1,0,0,1,0,1,0,0,0,4
/home/gui/Documents/AirSim/PythonClient/imitation_learning,Cooking.py,py,0,1,1,0,0,0,0,1,0,0,3
/home/gui/Documents/AirSim/PythonClient/imitation_learning,train_model.py,py,0,1,0,0,0,0,0,1,1,0,3
/home/gui/Documents/AirSim/PythonClient/ros,drone_image_raw.py,py,1,1,0,0,1,0,0,0,0,0,3
/home/gui/Documents/AirSim/PythonClient/ros,car_image_raw.py,py,1,1,0,0,1,0,0,0,0,0,3
/home/gui/Documents/AirSim/PythonClient/computer_vision,capture_ir_segmentation.py,py,1,1,0,0,0,0,0,0,1,0,3
/home/gui/Documents/AirSim/PythonClient/computer_vision,create_ir_segmentation_map.py,py,0,1,1,0,0,0,0,0,1,0,3
/home/gui/Documents/AirSim/PythonClient/car,car_collision.py,py,1,1,0,1,0,0,0,0,0,0,3
/home/gui/Documents/AirSim/PythonClient/multirotor,orbit.py,py,1,1,1,0,0,0,0,0,0,0,3
/home/gui/Documents/AirSim/PythonClient/multirotor,survey.py,py,1,1,0,1,0,0,0,0,0,0,3
/home/gui/Documents/AirSim/PythonClient/multirotor,point_cloud.py,py,1,1,0,0,0,0,0,1,0,0,3
/home/gui/Documents/AirSim/PythonClient/airsim,utils.py,py,0,1,0,0,1,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/airsim,types.py,py,0,1,0,0,0,1,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/airsim,client.py,py,0,1,0,1,0,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/imitation_learning,cook_data.py,py,0,1,0,0,0,0,0,1,0,0,2
/home/gui/Documents/AirSim/PythonClient/imitation_learning,Generator.py,py,0,1,0,0,0,0,0,0,1,0,2
/home/gui/Documents/AirSim/PythonClient/ros,car_pose.py,py,1,0,0,0,1,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/computer_vision,ground_truth.py,py,1,1,0,0,0,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/computer_vision,seg_pallete.py,py,0,1,0,0,0,0,0,1,0,0,2
/home/gui/Documents/AirSim/PythonClient/car,hello_car.py,py,0,1,0,1,0,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/car,pause_continue_car.py,py,0,1,0,1,0,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/car,car_stress_test.py,py,0,1,0,1,0,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/car,car_lidar.py,py,0,1,0,1,0,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/car,car_monitor.py,py,1,0,0,1,0,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/car,car_time_of_day.py,py,0,1,0,1,0,0,0,0,0,0,2
/home/gui/Documents/AirSim/PythonClient/car,multi_agent_car.py,py,0,1,0,1,0,0,0,0,0,0,2
