Directory#,Filename#,Filetype#,while,for,gain,control,pub,sub,plan,output,input,null,Total#
/home/gui/Documents/CARLA_0.8.2/PythonClient,point_cloud_example.py,py,1,1,0,1,0,0,0,1,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient,manual_control.py,py,1,1,0,1,0,0,1,0,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient,view_start_positions.py,py,1,1,0,0,0,1,1,0,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient/carla,client.py,py,1,1,1,1,0,0,0,0,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient/carla/driving_benchmark,driving_benchmark.py,py,1,1,0,1,0,0,1,0,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient/test,benchmark_server.py,py,1,1,0,1,0,0,0,1,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient/test,test_suite.py,py,1,1,0,0,0,1,0,1,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient/test,test_repeatability.py,py,1,1,0,1,0,0,0,1,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient/test,console.py,py,1,1,0,1,0,1,0,0,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient/test,test_client.py,py,1,1,0,1,0,0,0,1,0,0,4
/home/gui/Documents/CARLA_0.8.2/PythonClient,client_example.py,py,1,1,0,1,0,0,0,0,0,0,3
/home/gui/Documents/CARLA_0.8.2/PythonClient/carla/driving_benchmark,metrics.py,py,1,1,0,0,0,1,0,0,0,0,3
/home/gui/Documents/CARLA_0.8.2/PythonClient/carla/driving_benchmark,recording.py,py,1,1,0,1,0,0,0,0,0,0,3
/home/gui/Documents/CARLA_0.8.2/PythonClient/carla/planner,converter.py,py,0,1,0,0,0,0,1,0,1,0,3
/home/gui/Documents/CARLA_0.8.2/PythonClient/carla/planner,map.py,py,0,1,0,0,0,0,1,0,1,0,3
/home/gui/Documents/CARLA_0.8.2/PythonClient/carla/planner,planner.py,py,0,1,0,0,0,1,1,0,0,0,3
