Directory#,Filename#,Filetype#,while,for,gain,control,pub,sub,plan,out,output,input,Total#
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,updated_ct_script_iob_based.py,py,0,1,0,1,0,1,0,1,1,1,6
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,initialize.py,py,0,1,0,0,0,1,0,1,1,0,4
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,gen_fault_code_openAPS.py,py,0,1,0,0,0,1,0,1,0,0,3
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,run_openAPS.py,py,0,1,0,0,0,0,0,1,1,0,3
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,updated_collected.py,py,0,1,0,0,0,0,0,1,1,0,3
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,automation_script.py,py,0,1,0,0,0,1,0,0,0,1,3
/home/gui/Documents/OpenAPS/openaps_close/glucosym/closed_loop_algorithm_samples,scheduler.py,py,0,1,0,0,0,1,0,0,0,1,3
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,root_script.py,py,0,1,0,0,0,1,0,0,0,0,2
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,data_labeling_script.py,py,0,1,0,1,0,0,0,0,0,0,2
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,test.py,py,0,1,0,0,0,1,0,0,0,0,2
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,offlineWrapperWithThreshold.py,py,1,1,0,0,0,0,0,0,0,0,2
/home/gui/Documents/OpenAPS/openaps_close/glucosym/closed_loop_algorithm_samples,write_glucose.py,py,0,0,0,0,0,0,0,1,1,0,2
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,offlineWrapper.py,py,0,1,0,0,0,0,0,0,0,0,1
/home/gui/Documents/OpenAPS/openaps_close/myopenaps,plot_glucose_insulin.py,py,0,1,0,0,0,0,0,0,0,0,1
/home/gui/Documents/OpenAPS/openaps_close/myopenaps/settings,settings_reader.py,py,0,0,0,0,0,0,0,0,0,0,0
/home/gui/Documents/OpenAPS/openaps_close/myopenaps/settings/monitor,graph_plot.py,py,0,0,0,0,0,0,0,0,0,0,0
/home/gui/Documents/OpenAPS/openaps_close/myopenaps/simulationCollection/simulation_data_300/patientB,test.py,py,0,0,0,0,0,0,0,0,0,0,0
/home/gui/Documents/OpenAPS/openaps_close/myopenaps/monitor,graph_plot.py,py,0,0,0,0,0,0,0,0,0,0,0
