Directory#,Filename#,Filetype#,while,for,gain,control,pub,sub,plan,output,input,null,Total#
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/py-1.8.0-py2.7.egg/py/_path,svnwc.py,py,1,1,1,1,0,1,0,1,0,0,6
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/coverage-5.0a4-py2.7-linux-x86_64.egg/coverage,control.py,py,0,1,1,1,1,1,0,1,0,0,6
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/urllib3-1.24.1-py2.7.egg/urllib3/packages,six.py,py,0,1,1,0,1,1,1,0,1,0,6
/home/gui/Documents/udacity/self-driving-car/acc/acc/tests,visualize.py,py,0,1,0,1,0,1,1,0,1,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/py-1.8.0-py2.7.egg/py,__init__.py,py,0,1,0,0,0,1,1,1,1,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/py-1.8.0-py2.7.egg/py/_code,source.py,py,1,1,0,0,1,1,0,0,1,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/py-1.8.0-py2.7.egg/py/_path,common.py,py,1,1,1,1,0,1,0,0,0,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pytest-3.0.7-py2.7.egg/_pytest,fixtures.py,py,1,1,1,0,0,1,0,0,1,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pytest-3.0.7-py2.7.egg/_pytest,mark.py,py,1,1,1,1,0,1,0,0,0,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pytest-3.0.7-py2.7.egg/_pytest,pytester.py,py,1,1,0,0,1,1,0,1,0,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pytest-3.0.7-py2.7.egg/_pytest,config.py,py,1,1,0,0,0,1,1,1,0,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pytest-3.0.7-py2.7.egg/_pytest/_code,source.py,py,1,1,0,0,1,1,0,0,1,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pytest-3.0.7-py2.7.egg/_pytest/vendored_packages,pluggy.py,py,1,1,1,1,0,1,0,0,0,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pycodestyle-2.5.0-py2.7.egg,pycodestyle.py,py,1,1,0,0,1,1,0,0,1,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/coverage-5.0a4-py2.7-linux-x86_64.egg/coverage,config.py,py,1,1,0,1,0,1,0,1,0,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pyflakes-2.1.1-py2.7.egg/pyflakes/test,test_api.py,py,1,1,0,0,0,1,0,1,1,0,5
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/requests-2.21.0-py2.7.egg/requests,sessions.py,py,1,1,1,1,0,1,0,0,0,0,5
/home/gui/Documents/udacity/self-driving-car/acc/acc/tests,plant.py,py,0,1,0,1,1,0,1,0,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/acc/tests,maneuver.py,py,1,1,0,1,0,0,1,0,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/py-1.8.0-py2.7.egg/py,_xmlgen.py,py,0,1,0,0,0,1,0,1,1,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/py-1.8.0-py2.7.egg/py/_io,capture.py,py,1,1,0,1,0,0,0,1,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/py-1.8.0-py2.7.egg/py/_path,local.py,py,1,1,1,0,0,1,0,0,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pytest-3.0.7-py2.7.egg/_pytest,junitxml.py,py,0,1,0,0,0,1,0,1,1,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pytest-3.0.7-py2.7.egg/_pytest/assertion,rewrite.py,py,1,1,1,0,0,0,1,0,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/coverage-5.0a4-py2.7-linux-x86_64.egg/coverage,parser.py,py,1,1,0,0,0,1,0,1,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/coverage-5.0a4-py2.7-linux-x86_64.egg/coverage,templite.py,py,0,1,1,0,0,1,0,1,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/coverage-5.0a4-py2.7-linux-x86_64.egg/coverage,html.py,py,0,1,1,0,0,1,0,1,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/coverage-5.0a4-py2.7-linux-x86_64.egg/coverage,cmdline.py,py,0,1,0,1,0,1,0,1,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/coverage-5.0a4-py2.7-linux-x86_64.egg/coverage,debug.py,py,0,1,0,1,1,0,0,1,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pyflakes-2.1.1-py2.7.egg/pyflakes,checker.py,py,1,1,0,0,1,1,0,0,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/pyflakes-2.1.1-py2.7.egg/pyflakes/test,test_other.py,py,1,1,0,0,0,1,0,1,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/urllib3-1.24.1-py2.7.egg/urllib3,connectionpool.py,py,1,1,1,1,0,0,0,0,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/requests-2.21.0-py2.7.egg/requests,utils.py,py,1,1,1,0,0,1,0,0,0,0,4
/home/gui/Documents/udacity/self-driving-car/acc/.eggs/requests-2.21.0-py2.7.egg/requests,models.py,py,1,1,1,0,0,1,0,0,0,0,4
