Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
11,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,updated_ct_script_iob_based.py,py,130,,0.00424571516842778,,,,0.028626959087923176,0.01690172751797092,,,,,,,,,0.055854649122702216,,,,,,,,0.019331879098531245,0.1871377422037682,,0.002385807140798765,,,,,,,,,,,,,,0.08713933933033516,0.0337579047230054
11,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,updated_ct_script_iob_based_monitor.py,py,130,,0.00424571516842778,,,,0.028626959087923176,0.01690172751797092,,,,,,,,,0.055854649122702216,,,,,,,,0.019331879098531245,0.1871377422037682,,0.002385807140798765,,,,,,,,,,,,,,0.08713933933033516,0.0337579047230054
11,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,updated_ct_script_iob_based_original.py,py,130,,0.00424571516842778,,,,0.028626959087923176,0.01690172751797092,,,,,,,,,0.055854649122702216,,,,,,,,0.019331879098531245,0.1871377422037682,,0.002385807140798765,,,,,,,,,,,,,,0.08713933933033516,0.0337579047230054
10,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/fault_injection_files,gen_fault_code_openAPS.py,py,58,,0.011895322670164039,,,,0.19249162145327653,0.22729909420719513,,,,,,,,,,,0.30306545894292686,,,,,,0.025998044304921326,,,0.021389995055437202,,,,,,,,,,,,,,0.052471964496393284,
7,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_updated_ct_script.py,py,99,0.06289929917596716,0.0034844884589369405,,,,,,,,,,,,,,,,,,,,,,0.015231177471570071,0.2866925006825405,,0.0031328780636751463,,,,,,,,,,,,,,0.06660582698700426,0.06095177241653752
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_old_simplex_latest.py,py,55,,0.0037632475356518956,,,,,,,,,,,,,,,,,,,,,,0.013708059724413062,0.23590697199020472,,0.0056391805146152624,,,,,,,,,,,,,,0.07685287729269723,0.06981748476803389
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_5_scheduler_script_dual_red.py,py,91,,0.0030326536917341285,,,,,,,,,,,,,,,,,,,,,,0.06904242535189731,0.1425811369171567,,0.0034082959154268073,,,,,,,,,,,,,,0.07060330265570867,0.04219738090375675
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,ct_simplex_latest.py,py,87,,0.003965107556721346,,,,,,,,,,,,,,,,,,,,,,0.017332029536614217,0.32623629388013226,,0.0035649991759062003,,,,,,,,,,,,,,0.0563587766813113,0.06935891343950823
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,scheduler_script.py,py,125,,0.002759714859478057,,,,,,,,,,,,,,,,,,,,,,0.10052577131236247,0.10379906767569008,,0.0024812394264307155,,,,,,,,,,,,,,0.06222008945616768,0.030719693297934912
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,updated_ct_script_e_bg_based.py,py,90,,0.0038329373048306345,,,,,,,,,,,,,,,,,,,,,,0.013961912682272565,0.31536175075079453,,0.0034461658700426605,,,,,,,,,,,,,,0.0695091579069506,0.04266624069157627
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,updated_ct_script_bg_based.py,py,97,,0.0035563335818016195,,,,,,,,,,,,,,,,,,,,,,0.012954351973242585,0.29260368626362376,,0.003197473487668448,,,,,,,,,,,,,,0.07669441775188754,0.039587233631359416
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_4_scheduler_script.py,py,90,,0.0030663498438645077,,,,,,,,,,,,,,,,,,,,,,0.06980956341136282,0.14416537177179178,,0.0034461658700426605,,,,,,,,,,,,,,0.0695091579069506,0.04266624069157627
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,scheduler_script_tmr.py,py,125,,0.002759714859478057,,,,,,,,,,,,,,,,,,,,,,0.10052577131236247,0.10379906767569008,,0.0024812394264307155,,,,,,,,,,,,,,0.06222008945616768,0.030719693297934912
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,simplex_latest_1.py,py,55,,0.0037632475356518956,,,,,,,,,,,,,,,,,,,,,,0.013708059724413062,0.23590697199020472,,0.0056391805146152624,,,,,,,,,,,,,,0.07685287729269723,0.06981748476803389
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,simplex_latest.py,py,77,,0.00448005659006178,,,,,,,,,,,,,,,,,,,,,,0.01305529497563149,0.36860464373469487,,0.004027986081868045,,,,,,,,,,,,,,0.054894912351926596,0.04986963197716707
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,scheduler_script_latest_backup.py,py,31,,0.004451152999158156,,,,,,,,,,,,,,,,,,,,,,0.016213834082639107,0.3662265492589872,,0.010004997687220627,,,,,,,,,,,,,,0.059994826789783004,0.01769567586286573
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,scheduler_script_latest_backup.py,py,31,,0.004451152999158156,,,,,,,,,,,,,,,,,,,,,,0.016213834082639107,0.3662265492589872,,0.010004997687220627,,,,,,,,,,,,,,0.059994826789783004,0.01769567586286573
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_3_scheduler_script_latest_simplex.py,py,55,,0.0037632475356518956,,,,,,,,,,,,,,,,,,,,,,0.013708059724413062,0.23590697199020472,,0.0056391805146152624,,,,,,,,,,,,,,0.07685287729269723,0.06981748476803389
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_6_scheduler_script_tmr.py,py,125,,0.002759714859478057,,,,,,,,,,,,,,,,,,,,,,0.10052577131236247,0.10379906767569008,,0.0024812394264307155,,,,,,,,,,,,,,0.06222008945616768,0.030719693297934912
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,gen_fault_code_openAPS.py,py,81,,0.016183513064840456,,,,,,,,,,,,,,,,0.21700983479863895,,,,,,,,,0.04594887826723547,,,,,,,,,,,,,,0.08766920817092869,
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,automation_script.py,py,17,,0.00811680841022958,,,,,,,,,,,,,,,,,,,,,,0.05913280665433086,0.23850888712244964,,0.018244407547284673,,,,,,,,,,,,,,0.049728332365862916,
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,data_labeling_script.py,py,31,,0.026706917994948936,,,,0.060024269055322786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09271927776602827,0.01769567586286573
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,gen_fault_code_openAPS_monitor.py,py,81,,0.016183513064840456,,,,,,,,,,,,,,,,0.21700983479863895,,,,,,,,,0.04594887826723547,,,,,,,,,,,,,,0.08766920817092869,
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,experiment_data_labeling_script.py,py,31,,0.026706917994948936,,,,0.060024269055322786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09271927776602827,0.01769567586286573
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_scheduler_script.py,py,11,,0.012544158452172986,,,,,,,,,,,,,,,,,,,,,,0.022846766207355106,,,0.028195902573076314,,,,,,,,,,,,,,0.10759402820977612,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_2_initialize.py,py,19,,0.007262407524942255,,,,,,,,,,,,,,,,,,,,,,0.013227075172679272,,,0.016323943594938918,,,,,,,,,,,,,,0.13348131319257941,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_scheduler_script.py,py,10,,0.006899287148695143,,,,,,,,,,,,,,,,,,,,,,0.025131442828090617,,,0.031015492830383948,,,,,,,,,,,,,,0.11835343103075373,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_2_scheduler_script.py,py,11,,0.012544158452172986,,,,,,,,,,,,,,,,,,,,,,0.022846766207355106,,,0.028195902573076314,,,,,,,,,,,,,,0.10759402820977612,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,initialize.py,py,19,,0.007262407524942255,,,,,,,,,,,,,,,,,,,,,,0.013227075172679272,,,0.016323943594938918,,,,,,,,,,,,,,0.13348131319257941,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/fault_injection_files,run_openAPS.py,py,37,,0.03356409964230069,,,,,,,,,,,,,,,,0.1187688960722281,,,,,,0.11546879137230824,,,,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,updated_collected.py,py,9,,0.015331749219322538,,,,,,,,,,,,,,,,,,,,,,0.05584765072909026,,,,,,,,,,,,,,,,,0.0563587766813113,0.12190354483307504
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,initialize.py,py,20,,0.006899287148695143,,,,,,,,,,,,,,,,,,,,,,0.012565721414045309,,,0.015507746415191974,,,,,,,,,,,,,,0.13526106403514712,
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,updated_collected.py,py,8,,0.017248217871737855,,,,,,,,,,,,,,,,,,,,,,0.06282860707022654,,,,,,,,,,,,,,,,,,0.27428297587441886
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,run_openAPS_monitor.py,py,31,,0.03115807099410709,,,,,,,,,,,,,,,,,,,,,,0.12971067266111286,,,,,,,,,,,,,,,,,0.005454075162707545,
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,plot_glucose_insulin.py,py,21,,0.003285374832711972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1046662995510067,0.18285531724961257
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_initialize.py,py,11,,,,,,,,,,,,,,,,,,,,,,,,0.022846766207355106,,,0.028195902573076314,,,,,,,,,,,,,,0.13833517912685503,
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_2_collect_data.py,py,8,,0.017248217871737855,,,,,,,,,,,,,,,,,,,,,,0.06282860707022654,,,,,,,,,,,,,,,,,,0.27428297587441886
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,run_openAPS.py,py,31,,0.03115807099410709,,,,,,,,,,,,,,,,,,,,,,0.12971067266111286,,,,,,,,,,,,,,,,,0.005454075162707545,
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_collect_data.py,py,8,,0.017248217871737855,,,,,,,,,,,,,,,,,,,,,,0.06282860707022654,,,,,,,,,,,,,,,,,,0.27428297587441886
2,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,root_script.py,py,2,,0.03449643574347571,,,,,,,,,,,,,,,,,,,,,,,,,0.15507746415191972,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,test.py,py,3,,0.045995247657967614,,,,,,,,,,,,,,,,,,,,,,,,,0.10338497610127981,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,f1Score.py,py,1,,0.06899287148695142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/monitor,graph_plot.py,py,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1690763300439339,
1,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/settings/monitor,graph_plot.py,py,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1690763300439339,
1,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,test.py,py,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31015492830383945,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/settings,settings_reader.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
