Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
17,/home/uva-dsa/Research/Raven/raven_2/src/raven,rt_process_preempt.cpp,cpp,78,0.055056973664753456,0.012152063279789302,0.0556980326956616,,,0.13866832204562218,,,,,,,,,0.124283984790344,0.08699552514811915,,,0.04193378927947323,0.0278490163478308,,,,0.06648995783921907,0.045822847004579836,0.04329118174590014,0.02659598313568763,,,,,,,,,,,,,0.022184493882714908,,
16,/home/uva-dsa/Research/Raven/raven_2/src/raven,init.cpp,cpp,173,0.018617531557156515,0.005478964946957026,0.3390175053672351,,,0.018756293270910745,,,,,,,,0.3782399883937348,0.3782399883937348,0.09690491002558256,,0.01595381468227122,,0.012556203902490187,,,,,,0.00975928374618558,0.04796501004817654,,,,,,,,,,,,,0.16003611772039425,,
15,/home/uva-dsa/Research/Raven/raven_2/src/raven,console_process.cpp,cpp,90,0.023858021921393163,0.02106357635163479,0.048271628336240054,,,0.07210752746372354,,,,,,,,0.05385639340914907,0.05385639340914907,0.013305197963829986,,,0.07268523475108693,,,,,0.18439881640743427,0.17209024763942204,0.01875951208989006,,,,,,,,,,,,,,0.1730390522851763,,
15,/home/uva-dsa/Research/Raven/raven_2/src/raven,homing.cpp,cpp,68,0.11051877801821833,0.005807971420487534,,,0.5703087556987161,0.18291983069841633,,,0.21625298070041624,,,,0.07581436421291078,,,0.02347976111264115,,,,,,,,0.045760735689344904,0.017520500325280526,0.02482876600132508,0.015253578563114966,,,,,,,,,,,,,0.05089383890740479,,
14,/home/uva-dsa/Research/Raven/raven_2/src/raven,rt_raven.cpp,cpp,186,0.03463261246653846,0.007644039805028755,,,0.048115378892695654,0.23551248889361318,,0.2964758606376674,,,,,0.02771707938966631,,,0.030043995402196745,,,,,,,,0.011153154218191588,,0.00907718326930164,0.022306308436383177,,,,,,,,,,,,,0.353520644453586,,
13,/home/uva-dsa/Research/Raven/raven_2/src/raven,r2_kinematics.cpp,cpp,157,0.027353146151915732,0.04024887200949323,,,,0.017223135540698296,,,,,,,,,,0.14491648737674698,,0.017579681146706504,,,0.017579681146706504,,,0.013213290984609143,0.007588496956172457,0.010753860433694938,,,,,,,,,,,,,0.06250004262036137,,,
13,/home/uva-dsa/Research/Raven/raven_2/src/raven,pid_control.cpp,cpp,41,,0.0038530932350551448,0.05298105549099518,,,0.22423682321035976,0.23932943149748134,,,,,,0.12574089674336422,0.11822135138593698,0.11822135138593698,0.058413064231448715,,,,,,,,,,0.04117941678268549,,,,,,,,,,,,,,0.12661394069647045,,
12,/home/uva-dsa/Research/Raven/raven_2/,analyze_faulty.py,py,136,0.04736519057923643,0.035428625664973956,0.015972229964197077,,,0.007953036117322449,,,,,,,,0.017820130172144913,,0.005869940278160288,,,,,,,,0.38133946407787417,0.008760250162640263,0.01241438300066254,0.06864110353401735,,,,,,,,,,,,,,,
11,/home/uva-dsa/Research/Raven/raven_2/src/raven,local_io.cpp,cpp,173,,0.03652643297971351,0.07533722341494112,,,0.01563024439242562,,,,,,,,,,0.018458078100110964,,,,,,,,0.017986878768066202,0.02066001194426143,0.2016918640878353,0.029978131280110336,,,0.01595381468227122,,,,,,,,,,,,
11,/home/uva-dsa/Research/Raven/raven_2/src/raven,overdrive_detect.cpp,cpp,29,,0.013618691606660425,0.0749042508665794,,,0.1118909908919848,,,,,,,,,,0.06881998946808614,,,,,,,0.3803069660593527,0.07153402360633225,,0.05821917545138294,,,,,,,,,,,,,,0.23867455487610523,,
11,/home/uva-dsa/Research/Raven/raven_2/src/raven,grav_comp.cpp,cpp,54,,0.01023923850426691,,,,0.06008960621976961,,,,,,,,,,0.03695888323286107,,,,,0.05111129518579483,,,0.09604105021220534,0.022062852261464365,0.0312658534831501,,,,,,,,,,,,,0.12114205791847821,0.7690624546007835,,
11,/home/uva-dsa/Research/Raven/raven_2/src/raven,network_layer.cpp,cpp,37,0.05803302629528067,0.014943753492713872,0.05870873716569736,,,0.08769834421263674,,,,,,,,,0.32750509505563624,0.09709198514146207,,,,,,,,0.08410081153717441,0.0321998384356507,0.045631245624056904,,,,,,,,,,,,,,,,
11,/home/uva-dsa/Research/Raven/raven_2/,run.py,py,84,0.012781083172174908,0.017866426369690224,,,,0.03219086047487658,,,,,,,0.30686766467130555,0.028851639326329857,,0.10454084114437846,,,,,,,,0.09878508021826835,0.014183262168084234,0.04019895447833584,0.13582948530011899,,,,,,,,,,,,,,,
