Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
21,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls,controlsd.py,py,172,0.0071636260540269316,0.030058371637808674,0.013762346593788471,,,0.25138229172228554,,0.1251602201488033,0.01847705715318573,,,,0.11071211233446408,,0.27392208352370234,0.012774561496140811,,0.3345653354728745,,,,,,0.009732421125416696,,0.09119859987871193,0.036875329228590326,0.012089776405115323,0.0161197018734871,,,,,,0.0161197018734871,,,,,,,
19,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,manager.py,py,121,0.020366011261035245,0.06603356774526864,,,,0.06700065213259264,,0.06671763801320507,,,,,0.08584139739231175,0.031993396784362735,0.012560543419375314,0.18158880804431568,,0.03068261141100209,,0.026264907688826,,,,0.055338063919724685,,0.012963767916643349,0.17822059944528615,,,0.11456978191073476,,,,,,,0.78794723066478,,,,,
18,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/plant,plant.py,py,86,0.014327252108053863,0.05465158479601577,,,,0.041897048620380926,,0.01564502751860041,0.03695411430637146,,,,,,0.017672392485400153,0.012774561496140811,,0.5612063691803055,,,,,,,0.13762346593788471,0.1641574797816815,0.04425039507430839,0.21761597529207585,,0.04029925468371775,,,,,,,,,,0.3385137393432291,,
15,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,interface.py,py,84,0.014668377158245621,0.0391669691038113,,,,0.22519663633454748,0.10770300468922812,0.06407011269522074,,,,,0.041217496366943336,,0.36186327470105073,0.24849563672254865,,0.022098785599590786,,,,,,0.07971316350341293,,,,,,,,,,,,,,,,0.024755256448569473,,
15,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,planner.py,py,84,,0.016785843901633415,,,,0.09651284414337749,,0.08008764086902592,,,,,0.020608748183471668,,0.03618632747010507,,,1.060741708780358,,,,,,,,0.037347998045567744,0.045303975909410966,0.12377628224284735,0.06601401719618526,,,,,0.04608572632033203,0.09902102579427789,,,,,,,
14,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,carstate.py,py,21,0.058673508632982485,0.022381125202177887,,,,0.08578919479411332,,,0.1513358966832355,,,,0.08243499273388667,,0.28949061976084056,,0.2814200265746415,,,0.45400769004970654,,,,,,,,0.09902102579427789,0.1320280343923705,,,,,,,,,,,0.39608410317711157,,
13,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/tests/plant,test_longitudinal_original.py,py,45,,0.04177810037739872,,,,0.10008739392646554,,0.08969815777330903,,,,,0.03846966327581378,,0.5741563958590005,0.04882721282969377,,0.04125106645256947,,,,,,0.33479528671433434,,,,0.046209812037329684,,,,,,,,0.17205337826257294,,,,,,
13,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,longcontrol.py,py,91,,0.005164875046656436,0.02601234740803975,,,0.2969625973642384,0.049709079087336065,0.04435623186592205,,,,,0.6087507155733171,,0.033402763818558535,0.04829065005134549,,,,,,,,0.2943255267818324,,,,,,,,,,,,,,,,,,
13,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/tests/plant,test_longitudinal.py,py,30,0.04107145604308774,0.06266715056609809,,,,0.1501310908896983,,0.13454723665996357,,,,,0.05770449491372067,,0.0506608584581471,0.10986122886681099,,0.061876599678854206,,,,,,0.5579921445238905,,,,0.06931471805599453,,,,,,,,,,,,,,
13,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/mock,interface.py,py,16,,0.029375226827858477,0.14794522588322606,,,0.05629915908363687,,0.08409202291247722,,,,,0.21639185592645252,,0.2849673288270774,0.13732653608351372,,,,,,,,0.10462352709822947,,,0.2378458735244076,,,,,,,,,,,,,0.12996509635498973,,
