Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
14,/home/uva-dsa/Research/AVs/self-driving-car/acc/acc/tests,maneuver.py,py,43,0.09535679811068476,0.017052338362413974,,,,0.3103732985797612,0.0817792611203058,,,,,,0.0817792611203058,,0.39915425213142897,0.11793855698425225,,0.5307235064291351,,,,,,,,,,0.5591967636106343,,,,,,,0.09120868223910034,,,,,0.22526694109683967,,
12,/home/uva-dsa/Research/AVs/self-driving-car/acc/acc/tests,visualize.py,py,53,,0.034587290074707594,,,,0.8561618160822846,0.19904763555697075,,,,,,,,0.14392983515011692,,,0.4305869957821285,,,,,,,0.02711446578289271,,0.22370526647841518,0.3402659552159048,,,,,,,,,,,,0.1218424964423158,,
10,/home/uva-dsa/Research/AVs/self-driving-car/acc/acc/tests,plant.py,py,29,,0.012642250854893119,,,,0.2761252104606151,,0.13524045987176947,,,,,,,,,,0.26231161812014725,,,,,,,,0.02865278906631028,,1.3473749605963128,,,,,,,,,,,,0.779371830691365,,
6,/home/uva-dsa/Research/AVs/self-driving-car/image-localization/community-code/roboauto/ros/src/NeuralNetworkLib/src/NeuralNetwork/ConstructiveAlgorithms,Cascade2.cpp,cpp,111,0.0554100313345871,0.14202600735181728,,,,,,,,,,,,,0.01718081365530675,,,,,,,,,0.6774699828622074,0.051786186900659954,0.022457591430351306,,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/AVs/self-driving-car/image-localization/community-code/roboauto/ros/src/NeuralNetworkLib/src/NeuralNetwork/ConstructiveAlgorithms,CascadeCorrelation.cpp,cpp,147,0.041840227742443316,0.12719652390739403,,,,,,,,,,,,,0.038919802362021416,,,,,,,,,0.7718258093331701,,0.016957773120877512,0.013442606715823134,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/AVs/self-driving-car/image-localization/community-code/RoboCar/python,make_predictions.py,py,34,,0.2911436005700386,,,,,,,,,,,,,,0.07457879338710069,,,,0.11535215694945042,,,,,0.16906666899921338,,0.05811950550664708,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/AVs/self-driving-car/image-localization/community-code/roboauto/ros/src/motion/src,MotionLearner.cpp,cpp,36,,0.08147228328708898,,,,,,,,,,,,,0.05297417543719581,0.07043552708781732,,,,,,,,0.1832338403940181,,0.06924424024358318,0.9880315936130004,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/AVs/self-driving-car/acc/acc/tests,test_acc.py,py,22,,0.016664785217813657,,,,0.36398323197081084,,,,,,,,,1.3869602296283996,,,,,,,,,,,,,,,,,,,,,0.3565430305710286,,,,,,
5,/home/uva-dsa/Research/AVs/self-driving-car/image-localization/community-code/roboauto/scripts,validation.py,py,16,,0.022914079674493777,,,,,,,,,,,0.4395635285216437,,,0.31695987189517794,,,,,,,,,,0.20773272073074955,0.8645276444113754,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/AVs/self-driving-car/image-localization/community-code/roboauto/ros/src/slam/src,paramSolver.cpp,cpp,7,,0.10475007851197154,,,,,,,,,,,,,,0.36223985359448907,,,,,,0.50235831831045,,,,0.3561132355384278,,,,,,,,,,,,,,,,
